,Age,gender,number,ID1,ID2,satisfaction,partnerliking,mutuality,relationship length,commitment,honesty,love of learning,partnerIT,partnerOC,selfIT,extroversion,agreeableness,conscientiousness,stability,openness,ID3,ID4,satisfaction2,partnerliking2,mutuality2,length2,commitment2,honesty2,love of learning2,partnerIT2,selfIT2,extroversion2,agreeableness2,conscientiousness2,stability2,openness2,age2,gender2,extroversiondiff,agreeablenessdiff,conscientiousnessdiff,stabilitydiff,opennessdiff,satisfactiondiff
11,25-34,Female,23,59400f1c6b84600001e76c13,5b8bfff214e8c60001052fbd,3.75,6,6,6,6,6,6,6,6,5.833333333,4.5,5,6,6,4.5,5b8bfff214e8c60001052fbd,59400f1c6b84600001e76c13,4.25,6,6,6,6,6,6,6,6,4,5.5,6,6,4.5,25-34,Male,0.5,-0.5,0,0,0,-0.5
12,25-34,Male,26,5e791235c7d30f00096255e0,5e72575be8e23118f1a6359b,4.5,7,6.2,6,7,5.5,5.333333333,6,5,6,5.5,5,6.5,7,5.5,5e72575be8e23118f1a6359b,5e791235c7d30f00096255e0,4.5,6.8,6.2,6,7,5.4,5.666666667,6,5.166666667,5.5,6.5,6,5.5,4,25-34,Female,0,-1.5,0.5,1.5,1.5,0
13,35-44,Female,29,5af4579eb625f70001e0cfad,5af5a6464cca7000010c5c6a,4.75,6,6.8,6,7,5.5,6.666666667,6,5,5,5,4.5,5.5,5,5.5,5af5a6464cca7000010c5c6a,5af4579eb625f70001e0cfad,1.75,3,3.8,6,2.8,5.1,5,6,4.833333333,3,3.5,2,1,6.5,45-54,Female,2,1,3.5,4,-1,3
14,18-24,Female,31,5eee87f13994e73429924805,5eece30932fae00bc0f7fd9e,5.5,6.6,7,5,7,5.8,5,7,7,3.833333333,4.5,5,3.5,3,4,5eece30932fae00bc0f7fd9e,5eee87f13994e73429924805,5.5,5.8,7,5,7,6.8,6,3,5.666666667,7,6,7,4,1,25-34,Male,-2.5,-1,-3.5,-1,3,0
17,55-64,Female,37,5def4e6e09c1075da1ee992b,5e875515d1170a3acf6678b5,3.75,4.4,6.2,6,6.2,5.7,6.333333333,5,3,5.833333333,2.5,3.5,4.5,5.5,4,5e875515d1170a3acf6678b5,5def4e6e09c1075da1ee992b,4.75,7,6,6,7,5.6,5,7,5.833333333,6,3.5,5.5,5.5,5.5,55-64,Male,-3.5,0,-1,0,-1.5,-1
18,45-54,Male,39,5fc74b5900f0a5079e03dbae,5fcc07625049472607490069,5.25,7,6.6,6,7,5.8,7,7,7,6.5,4,5,6.5,6,5,5fcc07625049472607490069,5fc74b5900f0a5079e03dbae,5.5,7,6.8,6,7,6.9,6,7,5.333333333,1,7,5,4,1.5,45-54,Female,3,-2,1.5,2,3.5,-0.25
19,25-34,Male,40,5ed917ec0318c6466f50a0a6,5e830dc330296100098b0373,5.25,7,7,6,7,5,5.666666667,7,7,3.833333333,1,4,1.5,2,4.5,5e830dc330296100098b0373,5ed917ec0318c6466f50a0a6,5.25,6.4,6.8,6,6.8,5.8,6.666666667,7,6.833333333,6,4.5,5.5,1.5,6,25-34,Female,-5,-0.5,-4,0.5,-1.5,0
20,25-34,NA,41,5c867a35b5bfcb00115af368,5cb46154bce2b100186a1aa9,3.25,6,5.8,6,6.8,5.4,5,6,6,5.333333333,3.5,3.5,6,1,5,5cb46154bce2b100186a1aa9,5c867a35b5bfcb00115af368,4.5,6,5.6,6,6.8,4.7,4.333333333,3,3.666666667,3.5,4,6,2,4.5,25-34,Male,0,-0.5,0,-1,0.5,-1.25
21,35-44,Female,43,5fcf61cae339e601668c71aa,5fcebf39b1ce991897820e1a,5,7,7,6,7,5.9,6,7,5,5.166666667,1.5,6,4,2.5,5.5,5fcebf39b1ce991897820e1a,5fcf61cae339e601668c71aa,5,7,7,6,7,6.4,6.666666667,4,6.5,2.5,3.5,6.5,3,5,35-44,Male,-1,2.5,-2.5,-0.5,0.5,0
22,35-44,Female,46,62974bf0b641c08a1f88cfff,62850a124de32f71f54a8aec,2,5.4,2.6,6,6.6,6.3,7,2,6,6,2.5,6,5.5,2,5.5,62850a124de32f71f54a8aec,62974bf0b641c08a1f88cfff,4.25,6.8,5.6,6,6.6,5.4,5.666666667,7,5.333333333,5.5,4,3.5,2.5,4.5,35-44,Male,-3,2,2,-0.5,1,-2.25
23,25-34,Female,47,60919018ce223dc3906d7a7e,60e2f29d1b210b7492202572,3.25,7,7,3,7,5.7,6,6,6,4.666666667,5.5,6,2,4,5.5,60e2f29d1b210b7492202572,60919018ce223dc3906d7a7e,3.5,7,7,2,7,6.2,7,7,6.666666667,3,4.5,3.5,4,4,35-44,Male,2.5,1.5,-1.5,0,1.5,-0.25
